Caption,Channel,Angle / niche,Fits creator,Added,Added by,Times used,Last used,Days since used,Clicks,Subs,Status,Notes
there's something about her I can't explain... just go see,MM,curiosity gap,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this girl has my full endorsement it's serious,MM,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] literally just became 18 and the talent is scary,MM,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
early access vibes but I'm putting you onto her anyway 🤍,MM,early access,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she does something special I think you'll feel it,MM,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if I'm hyping someone you know it's real 💕,MM,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"just put [name] onto my whole timeline, genuinely obsessed 🤭",Feed,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"her content is actually different, go see 💕",Feed,curiosity gap,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not to be that girl but [name] is the move,Feed,confident prediction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you like what i do you're gonna loveee her 🌸,Feed,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
early access to [name]'s page before everyone finds her 👀,Feed,early access,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's someone i genuinely recommend to people,Feed,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay but [name] actually gets it,Feed,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just turned 18 and already the coolest creator i know 🤍,Feed,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"her entire vibe is unmatched, trust me 💗",Feed,confident prediction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
fresh to the platform and [name]'s already winning 🥹,Feed,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow [name] right now 🤭,Story,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is the one to know,Story,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
actually obsessed with her feed 💕,Story,confident prediction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
no seriously go see what she's posting,Story,early access,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just discovered [name] and wow,Story,curiosity gap,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's brand new and already incredible 🌸,Story,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] gets it like no one else,Story,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you follow me follow her too 👀,Story,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"literally just turned 18, already a creator 🤍",Story,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"okay putting you onto [name], she's genuinely sick 💕",MM,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
my girl [name] just posted and it's insane,MM,early access,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"not hyping her up for no reason, she's actually the move",MM,confident prediction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you're gonna like her i promise 🤭,MM,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] content has been on repeat for me,MM,personal endorsement,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"go check her out, just trust me on this one 🌸",MM,curious gap,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"fresh creator alert, [name] is so good already",MM,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"she just turned 18 and created immediately, respect 🤍",MM,just turned 18,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"her energy is exactly what you need, go follow 💗",MM,introduction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is who i'm watching right now 👀,MM,confident prediction,Nicole,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay [name] is actually insane 🤭,Feed,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
been saying this girl has IT,Feed,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18 and honestly... wow 💕,Feed,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you're not following her yet what are you doing,Feed,curiosity gap,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her energy is unmatched i'm obsessed,Feed,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just turned 18 and already making moves 🌸,Feed,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] gets it in a way most don't,Feed,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
genuinely think she's about to blow up,Feed,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's the kind of girl you want on your feed,Feed,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
fresh perspective and i'm here for it 👀,Feed,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow [name] rn 💕,Story,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content >> 🤭,Story,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18!!,Story,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is different fr,Story,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this girl is it,Story,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just turned 18 and already killing it,Story,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
trust me on this one 🌷,Story,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's got something special 👀,Story,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
new girl you need to know,Story,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
literally obsessed with her energy 🤍,Story,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay so [name] is genuinely incredible,MM,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
want me to put you onto someone? her 💕,MM,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18 and i'm impressed,MM,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this is the girl everyone will be talking about,MM,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] has the best energy i swear,MM,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"just turned 18, already figured it out 🤭",MM,just turned 18,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not to be dramatic but she's actually special,MM,confident prediction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you'd love her page i'm telling you,MM,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
the vibe she has... i can't explain it,MM,personal endorsement,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
seriously go check [name] out 🌸,MM,introduction,Ella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content is actually insane 👀,Feed,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i keep telling people about [name] and they thank me later 🤭,Feed,confident prediction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18 and already knows what she's doing,Feed,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay but [name] is lowkey one of my favs right now 💕,Feed,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you're not following her yet you're missing out,Feed,introduction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just started and i'm already obsessed 🥹,Feed,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
genuinely can't stop recommending [name] to people,Feed,confident prediction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her vibe is everything i needed to see today 💗,Feed,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
new to the platform but [name] doesn't post like it 😏,Feed,early access,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her feed is so good omg,Story,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] just turned 18 and she's out here killing it,Story,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's the move fr,Story,early access,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
can't stop thinking about her content 💕,Story,curiosity gap,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is actually different,Story,introduction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
my followers always ask for recs and it's her,Story,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
fresh to 18 and already a natural 🤭,Story,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
literally everyone should know about her,Story,confident prediction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay so [name]... you need to see her stuff 🤍,MM,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm not even exaggerating when i say [name] is fire,MM,confident prediction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just found her and i'm already obsessed ngl,MM,early access,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
do yourself a favor and check [name] out,MM,introduction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] just turned 18 and honestly... wow 👀,MM,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content actually made my day better 💕,MM,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18 and she's going to blow up i'm calling it,MM,just turned 18,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm vouching for [name] if that means anything 🤭,MM,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
type of girl worth your time and attention,MM,confident prediction,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
been hyping her up to everyone and they all agree,MM,personal endorsement,Kiara,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"go see what [name]'s doing, you'll thank me",Feed,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you like what i do you're gonna love her,Feed,confident prediction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"[name] just gets it, you know? 💕",Feed,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's the one everyone's talking about rn 👀,Feed,curiosity gap,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
putting you onto [name] because she deserves it,Feed,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"trust me, go follow her 🌸",Feed,confident prediction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her energy is actually unmatched loveee 💗,Feed,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"she's been on my mind, bet she'll be on yours",Feed,curiosity gap,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] makes the kind of content i can't stop watching,Feed,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go check out [name] rn 💕,Story,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's really something special 🤭,Story,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you need to see what she's posting,Story,curiosity gap,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
trust the rec 👀,Story,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her feed is immaculate ngl,Story,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow [name] immediately,Story,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm obsessed with her content 💗,Story,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's worth your time 🌸,Story,confident prediction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
putting you onto her rn 🤍,Story,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just discovered [name] and i'm lowkey obsessed 💕,MM,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay so you HAVE to follow [name],MM,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's got something special going on,MM,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] reminds me why i love this space 🤭,MM,confident prediction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
real talk: her content is next level,MM,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
bet you'll get addicted to her feed too,MM,curious gap,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i don't usually do this but [name]'s worth it,MM,introduction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's genuinely one of my favorites rn 💗,MM,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"if you trust my taste, trust [name]",MM,confident prediction,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just gets what people actually want to see 🌸,MM,personal endorsement,June,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you're not following [name] yet what are you doing,Feed,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's the one everyone's been talking about 👀,Feed,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"go see what [name]'s been up to, trust me 💕",Feed,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her page is actually insane 🌸,Feed,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm obsessed with [name]'s vibe rn 💗,Feed,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you need to check her out asap 😏,Feed,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] >>>> honestly 🤭,Feed,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her feed is different fr fr 🤍,Feed,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] though 👀,Story,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's it 🤭,Story,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you're sleeping on [name],Story,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] actually gets it 🤍,Story,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content hits 🌸,Story,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
obsessed with her fr 💗,Story,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
check [name] out asap 😏,Story,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's the one 👀,Story,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name]'s page>>>,Story,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"ok so you gotta follow [name], seriously 🤭",MM,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
found someone i think you'd actually love 💕,MM,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is doing something really special rn 🤍,MM,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"go check her out, i'm telling you 👀",MM,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's worth your time trust me 🌸,MM,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] though... her stuff is insane 💗,MM,confident prediction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
putting you onto [name] bc i know you'll love it 🤭,MM,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her energy is exactly what you need 🤍,MM,introduction,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
seriously go see what [name]'s about 😏,MM,curiosity gap,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm hyping her up bc she deserves it 💕,MM,personal endorsement,Julie,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just spent the whole day with [name] and she's genuinely so cool 🤭,Feed,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
following [name] is honestly non-negotiable at this point 🤍,Feed,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"the way she creates content is insane, go check it out",Feed,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she gets it in a way most people just.. don't 👀,Feed,curiosity gap,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
putting you onto [name] because you'd actually love her 💗,Feed,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her feed is so good I keep going back to it 🌸,Feed,curiosity gap,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"if you vibe with my stuff, [name] is next 🤍",Feed,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's doing something really special over there 👀💕,Feed,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
honestly obsessed with [name]'s energy right now,Feed,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content is 🔥,Story,curiosity gap,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] gets it 💕,Story,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you need to see this 👀,Story,curiosity gap,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's actually so good 🤍,Story,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"following her, thank me later 💗",Story,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go check her out 🌸,Story,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] > everyone else 😏,Story,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's different 💕,Story,curiosity gap,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
put her on your list 🤫,Story,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
real talk [name] has the best content I've seen in ages 💕,MM,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not to be dramatic but you'd actually love her vibe,MM,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"I genuinely think you'd be into [name], she's cool",MM,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay so I found someone I actually want to put you onto 🤍,MM,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"[name]'s energy is infectious, go follow",MM,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
sending this because I know you'll get why she's so good 👀,MM,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
there's this creator [name] who I think you'd actually vibe with,MM,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"she's doing it the right way, you'll see 💗",MM,confident prediction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"if you trust my taste, trust this one 🌸",MM,personal endorsement,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not gonna oversell it but [name] is really worth your time,MM,introduction,Emma,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
honestly she's one of my favorite creators rn 💕,Feed,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
if you haven't found [name] yet you're missing out,Feed,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow [name] i'm telling you,Feed,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
the way she creates is actually insane 🌸,Feed,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she deserves way more eyes on her content 👀,Feed,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
can't stop thinking about her page rn,Feed,curiosity gap,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] knows exactly what she's doing,Feed,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
been wanting to put you onto her for ages 💗,Feed,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
trust me just go see what she's doing,Feed,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is so good 🤍,Story,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go check her out rn 👀,Story,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's actually unreal,Story,curious gap,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
following [name] was the best call,Story,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her content is insane 💕,Story,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i loveee her energy,Story,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go find her page 🤭,Story,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she gets it,Story,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this girl's a must-follow 🌸,Story,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
ok so [name] is actually incredible 💕,MM,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i genuinely think you'd love her content,MM,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not me obsessed with [name]'s page rn 🤭,MM,curiosity gap,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's doing something really special,MM,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"wanted to put you onto her, she's so good 🤍",MM,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her stuff is different in the best way,MM,curiosity gap,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i'm telling you [name] is the one to follow,MM,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you're gonna be obsessed with her i swear,MM,confident prediction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this girl deserves all the love 💗,MM,introduction,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
seriously go see what she's creating 👀,MM,personal endorsement,Blue Bear,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay but [name] actually has me obsessed rn 🤭,Feed,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
literally been recommending [name] to everyone lol 💕,Feed,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she gets it in a way that's just... yeah 🌸,Feed,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
